UniProt_ID	Gene_Name	Protein_Name	Subcellular_Location	Domain_Information
O00161	SNAP23	Synaptosomal-associated protein 23 (SNAP-23) (Vesicle-membrane fusion protein SNAP-23)	SUBCELLULAR LOCATION: Cell membrane; Peripheral membrane protein. Cell membrane; Lipid-anchor. Synapse, synaptosome. Note=Mainly localized to the plasma membrane.	
O00165	HAX1	HCLS1-associated protein X-1 (HS1-associating protein X-1) (HAX-1) (HS1-binding protein 1) (HSP1BP-1)	SUBCELLULAR LOCATION: Mitochondrion matrix {ECO:0000269|PubMed:18971376, ECO:0000269|PubMed:9058808}. Endoplasmic reticulum {ECO:0000269|PubMed:18971376, ECO:0000269|PubMed:9058808}. Nucleus membrane {ECO:0000269|PubMed:9058808}. Cytoplasmic vesicle {ECO:0000250|UniProtKB:O35387}. Cytoplasm, cell cortex {ECO:0000269|PubMed:26997484}. Cell membrane {ECO:0000269|PubMed:26997484}; Peripheral membrane protein {ECO:0000269|PubMed:26997484}; Cytoplasmic side {ECO:0000269|PubMed:26997484}. Sarcoplasmic reticulum {ECO:0000250|UniProtKB:Q7TSE9}. Cytoplasm, P-body {ECO:0000269|PubMed:23164465}.; SUBCELLULAR LOCATION: [Isoform 1]: Cytoplasm {ECO:0000269|PubMed:23164465, ECO:0000269|PubMed:25298122}. Nucleus {ECO:0000269|PubMed:23164465}. Note=Predominantly cytoplasmic. Also detected in the nucleus when nuclear export is inhibited, and in response to cellular stress caused by arsenite (in vitro). {ECO:0000269|PubMed:23164465}.; SUBCELLULAR LOCATION: [Isoform 3]: Cytoplasm {ECO:0000269|PubMed:23164465}. Nucleus {ECO:0000269|PubMed:23164465}. Note=Predominantly cytoplasmic. Also detected in the nucleus when nuclear export is inhibited (in vitro). {ECO:0000269|PubMed:23164465}.; SUBCELLULAR LOCATION: [Isoform 4]: Cytoplasm {ECO:0000269|PubMed:23164465}. Nucleus {ECO:0000269|PubMed:23164465}. Note=Shuttles between nucleus and cytoplasm. {ECO:0000269|PubMed:23164465}.; SUBCELLULAR LOCATION: [Isoform 5]: Cytoplasm {ECO:0000269|PubMed:23164465}. Note=Predominantly cytoplasmic. {ECO:0000269|PubMed:23164465}.	
O00203	AP3B1	AP-3 complex subunit beta-1 (Adaptor protein complex AP-3 subunit beta-1) (Adaptor-related protein complex 3 subunit beta-1) (Beta-3A-adaptin) (Clathrin assembly protein complex 3 beta-1 large chain)	SUBCELLULAR LOCATION: Cytoplasmic vesicle, clathrin-coated vesicle membrane {ECO:0000305|PubMed:9151686}; Peripheral membrane protein {ECO:0000305}; Cytoplasmic side {ECO:0000305}. Golgi apparatus {ECO:0000305|PubMed:9151686}. Note=Component of the coat surrounding the cytoplasmic face of coated vesicles located at the Golgi complex. {ECO:0000305|PubMed:9151686}.	
O00232	PSMD12	26S proteasome non-ATPase regulatory subunit 12 (26S proteasome regulatory subunit RPN5) (26S proteasome regulatory subunit p55)		
O00253	AGRP	Agouti-related protein	SUBCELLULAR LOCATION: Secreted {ECO:0000269|PubMed:15927146}. Golgi apparatus lumen {ECO:0000269|PubMed:15927146}.	DOMAIN: The presence of a 'disulfide through disulfide knot' structurally defines this protein as a knottin. {ECO:0000269|PubMed:11747427}.
O00257	CBX4	E3 SUMO-protein ligase CBX4 (EC 2.3.2.-) (Chromobox protein homolog 4) (Polycomb 2 homolog) (Pc2) (hPc2)	SUBCELLULAR LOCATION: Nucleus {ECO:0000269|PubMed:12679040, ECO:0000269|PubMed:17018294, ECO:0000269|PubMed:18927235, ECO:0000269|PubMed:21282530}. Nucleus speckle {ECO:0000269|PubMed:19266028}. Note=Localization to nuclear polycomb bodies is required for ZNF131 sumoylation (PubMed:22467880). Localized in distinct foci on chromatin (PubMed:18927235). {ECO:0000269|PubMed:18927235, ECO:0000269|PubMed:22467880}.	DOMAIN: The polyhistidine repeat may act as a targeting signal to nuclear speckles. {ECO:0000269|PubMed:19266028}.
O00264	PGRMC1	Membrane-associated progesterone receptor component 1 (mPR) (Dap1) (IZA)	SUBCELLULAR LOCATION: Microsome membrane {ECO:0000250|UniProtKB:Q95250}; Single-pass membrane protein {ECO:0000255}. Smooth endoplasmic reticulum membrane {ECO:0000303|PubMed:28396637}; Single-pass membrane protein {ECO:0000255}. Mitochondrion outer membrane {ECO:0000250|UniProtKB:O55022}; Single-pass membrane protein {ECO:0000305}; Extracellular side {ECO:0000250|UniProtKB:O55022}. Secreted {ECO:0000269|PubMed:36213313, ECO:0000269|PubMed:37453717}. Note=Localized at cell membrane, probably in lipid rafts, in serum-starved conditions. {ECO:0000269|PubMed:30443021}.	DOMAIN: The cytochrome b5 heme-binding domain lacks the conserved iron-binding His residues at positions 107 and 131. {ECO:0000250}.
O00299	CLIC1	Chloride intracellular channel protein 1 (Chloride channel ABP) (Glutaredoxin-like oxidoreductase CLIC1) (EC 1.8.-.-) (Glutathione-dependent dehydroascorbate reductase CLIC1) (EC 1.8.5.1) (Nuclear chloride ion channel 27) (NCC27) (Regulatory nuclear chloride ion channel protein) (hRNCC)	SUBCELLULAR LOCATION: Nucleus {ECO:0000269|PubMed:12681486, ECO:0000269|PubMed:9139710}. Nucleus membrane {ECO:0000269|PubMed:9139710}; Single-pass membrane protein {ECO:0000305}. Cytoplasm {ECO:0000269|PubMed:10793131, ECO:0000269|PubMed:11551966, ECO:0000269|PubMed:12681486, ECO:0000269|PubMed:9139710, ECO:0000305|PubMed:11978800, ECO:0000305|PubMed:14613939}. Cell membrane {ECO:0000269|PubMed:11551966, ECO:0000269|PubMed:11940526, ECO:0000269|PubMed:14613939, ECO:0000305|PubMed:11978800}; Single-pass membrane protein {ECO:0000269|PubMed:11551966, ECO:0000269|PubMed:14613939}. Endoplasmic reticulum {ECO:0000250|UniProtKB:Q6MG61}. Note=Mostly in the nucleus including in the nuclear membrane (PubMed:12681486, PubMed:9139710). Small amount in the cytoplasm and the plasma membrane (PubMed:9139710). Exists both as soluble cytoplasmic protein and as membrane protein with probably a single transmembrane domain (PubMed:11551966, PubMed:11940526, PubMed:12681486, PubMed:14613939, PubMed:9139710). Might not be present in the nucleus of cardiac cells (By similarity). {ECO:0000250|UniProtKB:Q6MG61, ECO:0000269|PubMed:11551966, ECO:0000269|PubMed:11940526, ECO:0000269|PubMed:12681486, ECO:0000269|PubMed:14613939, ECO:0000269|PubMed:9139710}.	DOMAIN: The active G-site contains a monothiol Cys-X-X-Ser motif which mediates glutathione-dependent redox catalysis. {ECO:0000269|PubMed:25581026, ECO:0000269|PubMed:37759794}.; DOMAIN: Members of this family may change from a globular, soluble state to a state where the N-terminal domain is inserted into the membrane and functions as a channel. The redox status of the active cysteine in Cys-X-X-Cys/Ser motif likely determines the capacity to adopt a soluble or membrane-inserted state. A conformation change of the N-terminal domain is thought to expose hydrophobic surfaces that trigger membrane insertion. {ECO:0000269|PubMed:14613939, ECO:0000269|PubMed:18850721}.
O00311	CDC7	Cell division cycle 7-related protein kinase (CDC7-related kinase) (HsCdc7) (huCdc7) (EC 2.7.11.1)	SUBCELLULAR LOCATION: Nucleus {ECO:0000305|PubMed:27401717}.	
O00329	PIK3CD	Phosphatidylinositol 4,5-bisphosphate 3-kinase catalytic subunit delta isoform (PI3-kinase subunit delta) (PI3K-delta) (PI3Kdelta) (PtdIns-3-kinase subunit delta) (EC 2.7.1.137) (EC 2.7.1.153) (Phosphatidylinositol 4,5-bisphosphate 3-kinase 110 kDa catalytic subunit delta) (PtdIns-3-kinase subunit p110-delta) (p110delta)	SUBCELLULAR LOCATION: Cytoplasm {ECO:0000269|PubMed:22020336}.	
O00339	MATN2	Matrilin-2	SUBCELLULAR LOCATION: Secreted.	
O00421	CCRL2	C-C chemokine receptor-like 2 (Chemokine receptor CCR11) (Chemokine receptor X) (Putative MCP-1 chemokine receptor)	SUBCELLULAR LOCATION: Cell membrane {ECO:0000269|PubMed:18397265, ECO:0000269|PubMed:20002784}; Multi-pass membrane protein {ECO:0000269|PubMed:18397265, ECO:0000269|PubMed:20002784}.	DOMAIN: Lacks the conserved DRYLAIV motif in the second intracellular loop that is required for signaling of functional chemokine receptors.
O00422	SAP18	Histone deacetylase complex subunit SAP18 (18 kDa Sin3-associated polypeptide) (2HOR0202) (Cell growth-inhibiting gene 38 protein) (Sin3-associated polypeptide p18)	SUBCELLULAR LOCATION: Nucleus {ECO:0000269|PubMed:16314458}. Cytoplasm {ECO:0000269|PubMed:16314458}. Nucleus speckle {ECO:0000269|PubMed:20966198}. Note=Shuttles between the nucleus and the cytoplasm (PubMed:16314458). Colocalizes with ACIN1 and SRSF2 in nuclear speckles (PubMed:20966198). {ECO:0000269|PubMed:16314458, ECO:0000269|PubMed:20966198}.	
O00443	PIK3C2A	Phosphatidylinositol 4-phosphate 3-kinase C2 domain-containing subunit alpha (PI3K-C2-alpha) (PtdIns-3-kinase C2 subunit alpha) (EC 2.7.1.137) (EC 2.7.1.153) (EC 2.7.1.154) (Phosphoinositide 3-kinase-C2-alpha)	SUBCELLULAR LOCATION: Cell membrane {ECO:0000269|PubMed:10766823, ECO:0000269|PubMed:11239472, ECO:0000269|PubMed:17038310}. Cytoplasmic vesicle, clathrin-coated vesicle {ECO:0000269|PubMed:10766823, ECO:0000269|PubMed:11239472}. Nucleus {ECO:0000269|PubMed:11606566}. Cytoplasm {ECO:0000269|PubMed:11606566, ECO:0000269|PubMed:14563213}. Golgi apparatus, trans-Golgi network {ECO:0000269|PubMed:10766823, ECO:0000269|PubMed:11239472}. Note=Inserts preferentially into membranes containing PtdIns(4,5)P2 (PubMed:17038310). Associated with RNA-containing structures (PubMed:11606566). {ECO:0000269|PubMed:11606566, ECO:0000269|PubMed:17038310}.	
O00487	PSMD14	26S proteasome non-ATPase regulatory subunit 14 (EC 3.4.19.-) (26S proteasome regulatory subunit RPN11) (26S proteasome-associated PAD1 homolog 1)		
O00506	STK25	Serine/threonine-protein kinase 25 (EC 2.7.11.1) (Ste20-like kinase) (Sterile 20/oxidant stress-response kinase 1) (SOK-1) (Ste20/oxidant stress response kinase 1)	SUBCELLULAR LOCATION: Cytoplasm {ECO:0000269|PubMed:15037601}. Golgi apparatus {ECO:0000269|PubMed:15037601}. Note=Localizes to the Golgi apparatus.	
O00522	KRIT1	Krev interaction trapped protein 1 (Krev interaction trapped 1) (Cerebral cavernous malformations 1 protein)	SUBCELLULAR LOCATION: Cytoplasm, cytoskeleton. Cell membrane; Peripheral membrane protein. Cell junction. Note=KRIT1 and CDH5 reciprocally regulate their localization to endothelial cell-cell junctions. Association with RAP1 relocalizes KRIT1 from microtubules to cell junction membranes. Translocates from the cytoplasm along microtubules to the cell membrane in a ITGB1BP1-dependent manner.	DOMAIN: The FERM domain mediates binding to RAP1A and RAP1B and is necessary for binding to phosphatidylinositol 4,5-bisphosphate (PIP2). {ECO:0000269|PubMed:23317506}.; DOMAIN: The N-terminal domain has structural similarity to the nudix hydrolase domain, despite the absence of a nudix box and low sequence similarity with nudix hydrolase domains. The N-terminus and the C-terminus part associate together via the NPAY binding motif and adopt a lose conformation that is disrupted by ITGB1BP1, but not by RAP1A. {ECO:0000269|PubMed:23317506}.; DOMAIN: Contains 4 ANK repeats that precede the FERM domain. {ECO:0000269|PubMed:26458359}.
O00541	PES1	Pescadillo homolog	SUBCELLULAR LOCATION: Nucleus, nucleolus. Nucleus, nucleoplasm. Chromosome. Note=Appears to localize to the periphery of metaphase chromosomes during mitosis and to the prenucleolar bodies that form in mitotic cells prior to the actual nucleoli. {ECO:0000255|HAMAP-Rule:MF_03028}.	
O00548	DLL1	Delta-like protein 1 (Drosophila Delta homolog 1) (Delta1) (H-Delta-1)	SUBCELLULAR LOCATION: Apical cell membrane {ECO:0000250|UniProtKB:Q61483}; Single-pass type I membrane protein {ECO:0000250|UniProtKB:Q61483}. Cell junction, adherens junction {ECO:0000250|UniProtKB:Q61483}. Membrane raft {ECO:0000250|UniProtKB:Q61483}. Note=Distributed around adherens junction in the apical endfeet through interactions with MAGI1. {ECO:0000250|UniProtKB:Q61483}.	
O00574	CXCR6	C-X-C chemokine receptor type 6 (CXC-R6) (CXCR-6) (CDw186) (G-protein coupled receptor STRL33) (G-protein coupled receptor bonzo) (CD antigen CD186)	SUBCELLULAR LOCATION: Cell membrane; Multi-pass membrane protein.	
O00622	CCN1	CCN family member 1 (Cellular communication network factor 1) (Cysteine-rich angiogenic inducer 61) (Insulin-like growth factor-binding protein 10) (IBP-10) (IGF-binding protein 10) (IGFBP-10) (Protein CYR61) (Protein GIG1)	SUBCELLULAR LOCATION: Secreted.	
O00628	PEX7	Peroxisomal targeting signal 2 receptor (PTS2 receptor) (Peroxin-7)	SUBCELLULAR LOCATION: Cytoplasm, cytosol {ECO:0000269|PubMed:11931631, ECO:0000269|PubMed:25538232}. Peroxisome matrix {ECO:0000269|PubMed:11546814, ECO:0000269|PubMed:11931631, ECO:0000269|PubMed:25538232}. Note=Translocated into the peroxisome matrix together with PTS2-containing cargo proteins and PEX5. {ECO:0000269|PubMed:25538232}.	
O00631	SLN	Sarcolipin	SUBCELLULAR LOCATION: Sarcoplasmic reticulum membrane {ECO:0000269|PubMed:11781085, ECO:0000269|PubMed:9575189}; Single-pass membrane protein {ECO:0000255}. Endoplasmic reticulum membrane {ECO:0000250|UniProtKB:P42532}; Single-pass membrane protein {ECO:0000255}.	
O00712	NFIB	Nuclear factor 1 B-type (NF1-B) (Nuclear factor 1/B) (CCAAT-box-binding transcription factor) (CTF) (Nuclear factor I/B) (NF-I/B) (NFI-B) (TGGCA-binding protein)	SUBCELLULAR LOCATION: Nucleus.	DOMAIN: The 9aaTAD motif is a transactivation domain present in a large number of yeast and animal transcription factors. {ECO:0000269|PubMed:31375868}.
O00743	PPP6C	Serine/threonine-protein phosphatase 6 catalytic subunit (PP6C) (EC 3.1.3.16) [Cleaved into: Serine/threonine-protein phosphatase 6 catalytic subunit, N-terminally processed]	SUBCELLULAR LOCATION: Mitochondrion {ECO:0000269|PubMed:29053956}. Cytoplasm {ECO:0000269|PubMed:16769727, ECO:0000269|PubMed:17568194}.	
O00750	PIK3C2B	Phosphatidylinositol 4-phosphate 3-kinase C2 domain-containing subunit beta (PI3K-C2-beta) (PtdIns-3-kinase C2 subunit beta) (EC 2.7.1.137) (EC 2.7.1.154) (C2-PI3K) (Phosphoinositide 3-kinase-C2-beta)	SUBCELLULAR LOCATION: Microsome {ECO:0000269|PubMed:14563213, ECO:0000269|PubMed:9830063}. Cell membrane {ECO:0000269|PubMed:14563213, ECO:0000269|PubMed:9830063}. Cytoplasm, cytosol {ECO:0000269|PubMed:14563213, ECO:0000269|PubMed:9830063}. Nucleus {ECO:0000269|PubMed:14563213}. Endoplasmic reticulum {ECO:0000269|PubMed:14563213}. Note=Found mostly in the microsome, but also in the plasma membrane and cytosol. Nuclear in testis.	
O00762	UBE2C	Ubiquitin-conjugating enzyme E2 C (EC 2.3.2.23) ((E3-independent) E2 ubiquitin-conjugating enzyme C) (EC 2.3.2.24) (E2 ubiquitin-conjugating enzyme C) (UbcH10) (Ubiquitin carrier protein C) (Ubiquitin-protein ligase C)		
O00764	PDXK	Pyridoxal kinase (EC 2.7.1.35) (Pyridoxine kinase)	SUBCELLULAR LOCATION: Cytoplasm, cytosol {ECO:0000269|PubMed:9099727}.	
O14493	CLDN4	Claudin-4 (Clostridium perfringens enterotoxin receptor) (CPE-R) (CPE-receptor) (Williams-Beuren syndrome chromosomal region 8 protein)	SUBCELLULAR LOCATION: Cell junction, tight junction {ECO:0000269|PubMed:30734065}. Cell membrane {ECO:0000269|PubMed:20375010}; Multi-pass membrane protein {ECO:0000255}.	
O14503	BHLHE40	Class E basic helix-loop-helix protein 40 (bHLHe40) (Class B basic helix-loop-helix protein 2) (bHLHb2) (Differentially expressed in chondrocytes protein 1) (DEC1) (Enhancer-of-split and hairy-related protein 2) (SHARP-2) (Stimulated by retinoic acid gene 13 protein)	SUBCELLULAR LOCATION: Cytoplasm {ECO:0000269|PubMed:21829689}. Nucleus {ECO:0000269|PubMed:11278694, ECO:0000269|PubMed:21829689, ECO:0000269|PubMed:28797635}. Note=Predominantly localized in the nucleus (PubMed:11278694). {ECO:0000269|PubMed:11278694}.	
O14521	SDHD	Succinate dehydrogenase [ubiquinone] cytochrome b small subunit, mitochondrial (CybS) (CII-4) (Malate dehydrogenase [quinone] cytochrome b small subunit) (QPs3) (Succinate dehydrogenase complex subunit D) (Succinate-ubiquinone oxidoreductase cytochrome b small subunit) (Succinate-ubiquinone reductase membrane anchor subunit)	SUBCELLULAR LOCATION: Mitochondrion inner membrane {ECO:0000269|PubMed:37098072, ECO:0000269|PubMed:9533030}; Multi-pass membrane protein {ECO:0000255}.	
O14543	SOCS3	Suppressor of cytokine signaling 3 (SOCS-3) (Cytokine-inducible SH2 protein 3) (CIS-3) (STAT-induced STAT inhibitor 3) (SSI-3)		DOMAIN: The ESS and SH2 domains are required for JAK phosphotyrosine binding. Further interaction with the KIR domain is necessary for signal and kinase inhibition.; DOMAIN: The SOCS box domain mediates the interaction with the Elongin BC complex, an adapter module in different E3 ubiquitin ligase complexes. {ECO:0000250}.
O14548	COX7A2L	Cytochrome c oxidase subunit 7A2-like, mitochondrial (Cytochrome c oxidase subunit 7A-related protein) (COX7a-related protein) (Cytochrome c oxidase subunit VIIa-related protein) (EB1) (Supercomplex assembly factor 1)	SUBCELLULAR LOCATION: Mitochondrion inner membrane {ECO:0000305|PubMed:27545886}; Single-pass membrane protein {ECO:0000250|UniProtKB:Q99KD6}.	
O14556	GAPDHS	Glyceraldehyde-3-phosphate dehydrogenase, testis-specific (EC 1.2.1.12) (Spermatogenic cell-specific glyceraldehyde 3-phosphate dehydrogenase 2) (GAPDH-2) (Spermatogenic glyceraldehyde-3-phosphate dehydrogenase)	SUBCELLULAR LOCATION: Cytoplasm {ECO:0000250}.	DOMAIN: The testis-specific N-terminal extension mediates tight association with the cytoskeletal fibrous sheath of the spermatozoa flagellum, possibly via interchain disulfide-bonding of Cys-21 with sheath components. {ECO:0000269|PubMed:18298375}.
O14558	HSPB6	Heat shock protein beta-6 (HspB6) (Heat shock 20 kDa-like protein p20) (Heat shock protein family B member 6)	SUBCELLULAR LOCATION: Cytoplasm {ECO:0000269|PubMed:19464326}. Nucleus {ECO:0000269|PubMed:19464326}. Secreted {ECO:0000269|PubMed:22427880}. Note=Translocates to nuclear foci during heat shock. {ECO:0000269|PubMed:19464326}.	
O14576	DYNC1I1	Cytoplasmic dynein 1 intermediate chain 1 (Cytoplasmic dynein intermediate chain 1) (Dynein intermediate chain 1, cytosolic) (DH IC-1)	SUBCELLULAR LOCATION: Cytoplasm {ECO:0000250}. Chromosome, centromere, kinetochore {ECO:0000269|PubMed:19229290}. Cytoplasm, cytoskeleton, spindle pole {ECO:0000269|PubMed:19229290}.	
O14682	ENC1	Ectoderm-neural cortex protein 1 (ENC-1) (Kelch-like protein 37) (Nuclear matrix protein NRP/B) (p53-induced gene 10 protein)	SUBCELLULAR LOCATION: Nucleus matrix {ECO:0000269|PubMed:19424503}. Cytoplasm {ECO:0000269|PubMed:19424503}. Cytoplasm, cytoskeleton {ECO:0000269|PubMed:19424503}.	
O14717	TRDMT1	tRNA (cytosine(38)-C(5))-methyltransferase (EC 2.1.1.204) (DNA (cytosine-5)-methyltransferase-like protein 2) (Dnmt2) (DNA methyltransferase homolog HsaIIP) (DNA MTase homolog HsaIIP) (M.HsaIIP) (PuMet)	SUBCELLULAR LOCATION: Cytoplasm {ECO:0000269|PubMed:16424344}.	
O14730	RIOK3	Serine/threonine-protein kinase RIO3 (EC 2.7.11.1) (RIO kinase 3) (sudD homolog)	SUBCELLULAR LOCATION: Cytoplasm {ECO:0000269|PubMed:22418843}.	
O14735	CDIPT	CDP-diacylglycerol--inositol 3-phosphatidyltransferase (EC 2.7.8.11) (Phosphatidylinositol synthase) (PI synthase) (PtdIns synthase)	SUBCELLULAR LOCATION: Endoplasmic reticulum membrane {ECO:0000305|PubMed:8110188}; Multi-pass membrane protein {ECO:0000255}. Cell membrane {ECO:0000305|PubMed:8110188}; Multi-pass membrane protein {ECO:0000255}.	
O14771	ZNF213	Zinc finger protein 213 (Putative transcription factor CR53) (Zinc finger protein with KRAB and SCAN domains 21)	SUBCELLULAR LOCATION: Nucleus {ECO:0000255|PROSITE-ProRule:PRU00187}.	
O14777	NDC80	Kinetochore protein NDC80 homolog (Highly expressed in cancer protein) (Kinetochore protein Hec1) (HsHec1) (Kinetochore-associated protein 2) (Retinoblastoma-associated protein HEC)	SUBCELLULAR LOCATION: Nucleus {ECO:0000269|PubMed:9315664}. Chromosome, centromere, kinetochore {ECO:0000269|PubMed:14699129}. Note=Localizes to kinetochores from late prophase to anaphase (PubMed:14699129). Localizes specifically to the outer plate of the kinetochore (PubMed:14699129). {ECO:0000269|PubMed:14699129}.	
O14782	KIF3C	Kinesin-like protein KIF3C	SUBCELLULAR LOCATION: Cytoplasm, cytoskeleton {ECO:0000305}.	
O14788	TNFSF11	Tumor necrosis factor ligand superfamily member 11 (Osteoclast differentiation factor) (ODF) (Osteoprotegerin ligand) (OPGL) (Receptor activator of nuclear factor kappa-B ligand) (RANKL) (TNF-related activation-induced cytokine) (TRANCE) (CD antigen CD254) [Cleaved into: Tumor necrosis factor ligand superfamily member 11, membrane form; Tumor necrosis factor ligand superfamily member 11, soluble form]	SUBCELLULAR LOCATION: [Isoform 1]: Cell membrane; Single-pass type II membrane protein.; SUBCELLULAR LOCATION: [Isoform 3]: Cell membrane; Single-pass type II membrane protein.; SUBCELLULAR LOCATION: [Isoform 2]: Cytoplasm {ECO:0000250}.; SUBCELLULAR LOCATION: [Tumor necrosis factor ligand superfamily member 11, soluble form]: Secreted {ECO:0000250}.	
O14793	MSTN	Growth/differentiation factor 8 (GDF-8) (Myostatin)	SUBCELLULAR LOCATION: Secreted {ECO:0000250|UniProtKB:O08689}.	
O14807	MRAS	Ras-related protein M-Ras (EC 3.6.5.2) (Ras-related protein R-Ras3)	SUBCELLULAR LOCATION: Cell membrane {ECO:0000305}; Lipid-anchor {ECO:0000305}; Cytoplasmic side {ECO:0000305}.	
O14818	PSMA7	Proteasome subunit alpha type-7 (Proteasome subunit RC6-1) (Proteasome subunit XAPC7) (Proteasome subunit alpha-4) (alpha-4)	SUBCELLULAR LOCATION: Cytoplasm {ECO:0000269|PubMed:12181345, ECO:0000269|PubMed:34711951}. Nucleus {ECO:0000269|PubMed:12181345, ECO:0000269|PubMed:34711951}. Note=Translocated from the cytoplasm into the nucleus following interaction with AKIRIN2, which bridges the proteasome with the nuclear import receptor IPO9. {ECO:0000269|PubMed:34711951}.	
O14827	RASGRF2	Ras-specific guanine nucleotide-releasing factor 2 (Ras-GRF2) (Ras guanine nucleotide exchange factor 2)	SUBCELLULAR LOCATION: Cytoplasm. Cell membrane; Peripheral membrane protein. Endoplasmic reticulum membrane; Peripheral membrane protein. Note=Translocates to membranes when activated. Found both at cell periphery and along the axon of neurons (By similarity). {ECO:0000250}.	DOMAIN: The Ras-GEF domain and the N-terminal Ras-GEF domain form a Ras-binding site and mediate Ras activation. {ECO:0000250}.; DOMAIN: The IQ domain mediates the calcium-dependent interaction with calmodulin but is dispensable for the Ras-GEF activity. {ECO:0000250}.; DOMAIN: The DH (DBL-homology) domain mediates interaction with RASGRF1 and EPB49 and is required for RAC1 activation.
O14836	TNFRSF13B	Tumor necrosis factor receptor superfamily member 13B (Transmembrane activator and CAML interactor) (CD antigen CD267)	SUBCELLULAR LOCATION: Membrane; Single-pass type III membrane protein.	
O14843	FFAR3	Free fatty acid receptor 3 (G-protein coupled receptor 41)	SUBCELLULAR LOCATION: Cell membrane {ECO:0000269|PubMed:18801738}; Multi-pass membrane protein {ECO:0000269|PubMed:18801738}.	
O14879	IFIT3	Interferon-induced protein with tetratricopeptide repeats 3 (IFIT-3) (CIG49) (ISG-60) (Interferon-induced 60 kDa protein) (IFI-60K) (Interferon-induced protein with tetratricopeptide repeats 4) (IFIT-4) (Retinoic acid-induced gene G protein) (P60) (RIG-G)	SUBCELLULAR LOCATION: Cytoplasm {ECO:0000269|PubMed:17050680, ECO:0000269|PubMed:18706081}. Mitochondrion {ECO:0000269|PubMed:21813773}.	
